2023-03-28/21:59:43		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:43		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:44		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:45		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:46		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:46		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:46		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:46		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:46		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:46		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:47		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:47		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:47		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:47		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:47		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:47		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:48		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:48		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:48		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:48		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:48		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:48		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:48		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:49		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:49		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:49		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:49		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:49		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:49		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:49		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:50		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:50		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:50		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:50		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:50		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:50		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:51		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:51		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:51		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:51		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:51		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:51		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:51		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:52		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:53		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:54		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:55		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:56		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:57		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:58		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/21:59:59		 wafer_16012020_051629.csv: File loaded successfully!!
2023-03-28/22:00:00		 wafer_16012020_051629.csv: File loaded successfully!!
